"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"15528"	5	35.78	34.734	-0.379	0.207	8	85.96	46.406	1.067	0.117	1	255	NA	NA	-1	18	NA	NA	NA	38	5	NA	NA	NA	1	NA	72.27	2	1	NA	1	NA	1	NA	NA	1	1	-2	3	4	NA	NA	3	1	4	NA	NA	NA	NA	2	2	2	1	1	48.93315	0	0	52.60638	0	5	5
"15529"	13	62.18	52.81	0.596	0.142	10	105.66	53.259	1.447	0.116	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	5	NA	NA	NA	NA	NA	79.7	2	1	NA	1	NA	2	NA	NA	13	1	-2	3	4	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	1	1	48.93315	0	0	52.60638	8	NA	5
"15533"	11	57.85	50.586	0.49	0.142	9	103.38	52.458	1.384	0.115	1	1	158	-1	-1	-1	14	-1	1	52	3	1	-1	1	1	158	71.2	1	1	1	2	2	1	1	43000	-7	1	-2	3	2	2	1	-9	1	2	2	2	2	1	-1	2	1	1	1	195.73258	207.53541	293.60333	210.42551	2	3	3
"15536"	4	31.47	30.638	-0.586	0.203	3	66.57	38.461	0.727	0.139	158	158	158	-1	21	-8	21	-1	1	2	3	1	-1	1	158	158	78.97	2	1	1	2	2	1	1	15000	16	1	-2	3	4	1	1	1	2	4	2	2	2	2	2	2	2	1	1	195.73258	276.18711	341.36284	210.42551	6	3	3
"15537"	10	48.77	45.07	0.194	0.146	9	101.3	51.735	1.335	0.123	158	-1	158	-1	1	-1	1	-1	1	-1	4	1	-1	1	158	158	75.33	1	3	3	4	4	3	3	35000	-1	1	-2	3	2	2	2	-9	2	1	2	1	2	2	2	1	2	1	1	195.73258	276.18711	341.36284	210.42551	1	4	4
"15539"	13	63.39	53.392	0.628	0.142	10	87.83	47.07	1.116	0.117	1	1	1	-1	-1	-1	-1	-1	1	-1	8	-1	-1	-1	1	1	69.73	1	1	1	1	1	1	1	24000	16	1	-2	3	4	2	1	1	1	3	2	2	2	1	2	1	1	1	1	195.73258	243.76116	303.55686	210.42551	2	8	8
"15540"	12	53.32	47.988	0.34	0.143	8	99.22	51.015	1.301	0.114	1	1	1	-1	-1	-1	-1	-1	1	-1	8	-1	-1	-1	1	1	78.5	2	1	1	2	2	1	1	50000	13	1	-2	3	4	2	1	3	1	3	2	1	2	2	1	2	1	1	1	195.73258	207.53541	293.60333	210.42551	6	8	8
"15541"	14	74.98	58.244	0.888	0.146	11	116.59	57.251	1.604	0.124	NA	NA	NA	NA	NA	NA	NA	NA	1	-1	4	NA	NA	NA	NA	NA	77.13	2	1	1	1	1	1	1	38000	12	1	-2	3	2	2	2	-9	NA	NA	2	NA	2	2	1	NA	NA	1	1	195.73258	276.18711	341.36284	210.42551	6	NA	4
"15544"	9	44.81	42.228	0.036	0.168	8	91.06	48.204	1.217	0.115	158	158	158	-1	29	26	29	-1	1	24	3	1	-1	1	158	158	75.37	1	1	1	2	2	2	2	4000	12	1	-2	3	4	1	1	1	1	1	2	2	1	2	2	2	2	1	1	195.73258	276.18711	341.36284	210.42551	6	3	3
"15546"	NA	NA	NA	NA	NA	3	61.63	35.907	0.59	0.146	158	158	NA	NA	25	31	NA	NA	1	18	4	NA	NA	NA	158	NA	72.7	1	3	3	4	4	3	3	4164	-1	1	-2	3	4	1	1	1	NA	NA	2	NA	2	2	2	2	1	1	1	195.73258	276.18711	341.36284	210.42551	6	4	4
"15547"	NA	NA	NA	NA	NA	7	103.2	52.394	1.365	0.124	120	1	NA	NA	2	-1	NA	NA	1	-1	1	NA	NA	NA	120	NA	73.6	1	1	1	2	2	4	4	36000	11	1	-2	3	4	2	2	3	NA	NA	2	NA	2	2	2	2	1	1	1	195.73258	207.53541	293.60333	210.42551	1	1	1
"15549"	6	38.07	36.759	-0.276	0.21	4	78.17	43.498	0.979	0.129	158	158	158	-1	23	23	23	-1	1	14	4	1	-1	1	158	158	74.37	2	1	1	1	1	2	2	8000	12	1	-2	3	4	2	1	1	2	4	2	2	1	1	2	1	2	1	1	195.73258	243.76116	303.55686	210.42551	6	4	4
"15550"	13	70.41	56.468	0.797	0.143	14	116.06	57.05	1.599	0.136	NA	NA	1	-1	NA	NA	-1	-1	1	-1	8	-1	-1	-1	NA	1	72.5	2	3	4	4	4	1	0	-8	-1	1	-2	3	4	2	1	3	NA	NA	2	2	2	-8	2	NA	NA	1	1	195.73258	207.53541	293.60333	210.42551	6	NA	8
"15551"	13	67.49	55.245	0.742	0.142	11	116.16	57.088	1.599	0.124	147	111	147	-1	20	27	20	-1	1	-1	5	-1	1	-1	147	147	70.33	2	2	2	1	1	0	0	120000	22	2	-2	3	4	2	1	1	1	3	2	1	2	2	1	1	2	2	2	60.01295	55.89232	58.26466	61.43815	6	5	5
"15552"	12	62.94	53.178	0.615	0.142	7	89.53	47.667	1.189	0.122	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	69.93	2	1	1	1	1	1	1	-7	16	2	-2	3	3	2	1	1	NA	NA	2	2	2	2	1	NA	NA	2	2	100.02158	93.15387	97.10777	102.39691	3	NA	1
"15553"	14	88.17	62.737	1.131	0.158	15	146.61	70.103	2.244	0.161	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.37	1	1	1	1	1	1	1	-8	18	2	-2	3	3	2	1	1	1	1	2	2	2	2	1	1	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15555"	14	71.71	56.99	0.82	0.144	10	113.6	56.129	1.55	0.13	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	87.77	1	3	3	4	4	2	2	60000	-1	2	-2	3	4	2	1	1	1	1	2	2	2	1	1	2	1	2	2	100.02158	104.26269	108.31102	102.39691	0	1	1
"15557"	13	59.95	51.695	0.544	0.142	8	98.88	50.901	1.331	0.114	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.83	1	3	3	4	4	2	2	-7	-1	2	-2	3	4	2	1	1	1	3	2	1	2	2	1	2	2	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15558"	16	74.93	58.225	0.888	0.146	11	112.97	55.895	1.567	0.133	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.9	2	1	1	1	1	3	3	95000	18	2	-2	3	4	2	2	2	2	1	2	1	2	2	2	2	1	2	2	100.02158	93.15387	97.10777	102.39691	6	1	1
"15559"	14	99.47	66.274	1.324	0.174	12	112.32	55.656	1.528	0.136	1	136	1	-1	-1	20	-1	-1	1	-1	1	-1	-1	-1	1	1	78.63	1	1	1	1	1	1	1	80000	20	2	-2	3	4	2	1	1	2	4	2	2	1	2	1	2	1	2	2	100.02158	104.26269	108.31102	102.39691	4	1	1
"15560"	15	72.68	57.368	0.839	0.144	16	137.05	65.633	2.032	0.147	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73	1	1	1	1	1	1	1	65000	17	2	-2	3	3	2	1	2	1	1	2	2	1	2	2	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15561"	15	100.78	66.683	1.344	0.176	17	139.16	66.579	2.07	0.149	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	81.73	1	1	1	1	1	2	2	90000	18	2	-2	3	4	2	1	1	NA	NA	2	1	1	2	2	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15562"	16	97.18	65.561	1.287	0.17	13	134.68	64.595	1.994	0.144	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.2	2	1	1	1	1	1	1	75000	18	2	-2	3	3	2	1	3	2	4	1	1	1	1	1	1	2	2	2	100.02158	93.15387	97.10777	102.39691	6	1	1
"15563"	13	59.72	51.575	0.539	0.142	10	118.14	57.843	1.622	0.126	1	1	1	-1	-1	-1	-1	-1	1	-1	4	4	-1	4	1	1	77.6	2	1	1	1	1	1	1	55000	21	2	-2	3	4	2	1	1	2	3	2	1	1	1	1	2	1	2	2	100.02158	93.15387	97.10777	102.39691	6	4	4
"15564"	15	71.84	57.041	0.823	0.144	9	100.56	51.481	1.345	0.123	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	81.53	2	3	3	4	4	2	2	18000	-1	2	-2	3	4	2	2	1	NA	NA	2	2	2	2	2	2	2	2	2	100.02158	93.15387	97.10777	102.39691	3	1	1
"15565"	14	57.56	50.425	0.485	0.142	7	88.55	47.324	1.132	0.116	158	158	158	-1	25	21	21	-1	1	34	3	1	-1	1	158	158	71.53	2	1	1	1	1	1	1	-8	16	2	-2	3	4	1	1	1	1	2	2	2	2	2	2	1	2	2	2	100.02158	93.15387	97.10777	102.39691	0	3	3
"15566"	15	90.63	63.519	1.175	0.161	12	123.53	59.957	1.744	0.138	158	1	158	-1	8	-1	8	-1	1	-1	3	1	-1	1	158	158	78.27	1	1	1	1	1	1	1	-7	16	2	-2	3	3	2	1	3	NA	NA	2	1	1	2	1	2	1	2	2	100.02158	104.26269	108.31102	102.39691	0	3	3
"15567"	15	75.24	58.338	0.895	0.146	13	105.39	53.162	1.446	0.125	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.47	1	1	1	1	1	2	2	1e+05	18	2	-2	3	3	2	1	-9	2	4	2	1	2	2	2	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15568"	16	85.35	61.829	1.082	0.155	9	92.22	48.606	1.225	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	4	1	-1	1	1	1	70.23	2	1	1	1	1	2	2	150000	13	2	-2	3	3	2	1	3	2	4	2	2	2	1	2	2	2	2	2	100.02158	93.15387	97.10777	102.39691	6	4	4
"15569"	15	102.28	67.154	1.37	0.178	16	146.81	70.199	2.245	0.161	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	82.63	1	1	1	1	1	3	3	-7	22	2	-2	3	4	2	1	1	3	4	2	1	1	2	1	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15570"	16	88.92	62.976	1.144	0.159	16	128.06	61.794	1.837	0.14	191	1	191	-1	1	-1	1	-1	1	-1	3	-1	-1	-1	191	191	79.87	1	1	1	1	1	2	2	150000	20	2	-2	3	3	1	1	3	1	2	2	1	2	2	2	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	3	3
"15571"	14	69.9	56.262	0.786	0.143	8	91.49	48.352	1.228	0.115	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.17	1	4	4	4	4	0	0	21000	-1	2	-2	3	4	2	1	1	NA	NA	2	1	1	1	2	1	1	2	2	100.02158	104.26269	108.31102	102.39691	6	1	1
"15572"	13	63.55	53.468	0.631	0.142	9	112.89	55.864	1.546	0.129	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.03	2	2	2	1	1	0	0	150000	18	2	-2	3	3	2	2	1	1	4	2	2	1	1	-8	1	1	2	2	100.02158	93.15387	97.10777	102.39691	6	1	1
"15574"	16	97.89	65.781	1.298	0.171	14	120.25	58.66	1.681	0.137	191	1	191	-1	1	-1	1	-1	1	-1	3	-1	-1	-1	191	191	79.87	1	1	1	1	1	2	2	150000	20	2	-2	3	4	1	1	1	1	4	2	1	2	2	2	2	1	2	2	100.02158	104.26269	108.31102	102.39691	6	3	3
"15576"	16	112.8	70.548	1.552	0.2	15	136.79	65.521	2.027	0.146	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.27	1	1	1	1	1	2	2	35000	13	1	NA	1	4	2	1	1	1	4	2	2	2	2	2	2	1	1	1	234.93733	259.95325	301.00002	244.0126	4	1	1
"15577"	12	49.11	45.3	0.207	0.146	7	99.1	50.977	1.291	0.123	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.6	2	1	1	1	1	1	1	99000	20	1	NA	1	4	1	1	1	NA	NA	2	1	2	1	1	2	1	1	1	234.93733	259.95325	290.19222	244.0126	6	1	1
"15578"	15	74.19	57.947	0.87	0.145	11	119.44	58.345	1.667	0.127	NA	NA	NA	NA	NA	NA	NA	NA	1	-1	NA	NA	NA	NA	NA	NA	80.87	1	3	3	4	4	1	1	50000	-1	1	NA	1	4	2	1	1	1	4	2	NA	1	2	NA	NA	NA	1	1	234.93733	275.11128	350.84559	244.0126	6	NA	-9
"15579"	16	96.51	65.354	1.275	0.169	13	131.85	63.382	1.936	0.142	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.9	1	1	1	1	1	1	1	65000	18	1	NA	1	4	1	1	1	NA	NA	2	1	2	2	1	2	1	1	1	234.93733	259.95325	319.93492	244.0126	6	1	1
"15580"	11	56.08	49.604	0.436	0.142	12	118.22	57.874	1.623	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.7	1	1	1	1	1	2	2	75000	18	1	NA	1	4	1	1	1	3	3	2	1	2	2	1	1	2	1	1	234.93733	259.95325	319.93492	244.0126	6	1	1
"15581"	16	86.58	62.229	1.103	0.156	13	124.24	60.242	1.754	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.53	2	1	1	1	1	1	1	60000	17	1	NA	2	4	1	1	1	2	4	2	1	2	2	1	1	2	1	1	234.93733	259.95325	290.19222	244.0126	4	1	1
"15584"	8	34.55	33.607	-0.437	0.166	5	77.41	43.198	0.965	0.13	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.93	1	1	1	1	1	1	1	41600	11	1	NA	2	4	2	1	1	1	1	2	2	1	2	2	2	1	1	1	234.93733	259.95325	319.93492	244.0126	6	1	1
"15588"	13	55.9	49.506	0.428	0.142	7	80.13	44.253	1.014	0.121	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.63	2	1	1	1	1	1	1	1e+05	15	1	NA	3	5	2	1	3	1	4	2	2	2	1	2	2	1	1	1	234.93733	259.95325	290.19222	244.0126	3	1	1
"15589"	13	65.77	54.491	0.699	0.142	14	105.64	53.251	1.437	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.13	1	1	1	1	1	2	2	65000	18	1	NA	3	5	1	1	3	2	3	2	2	2	1	2	2	1	1	1	234.93733	259.95325	319.93492	244.0126	8	1	1
"15593"	14	73.41	57.648	0.852	0.145	15	118.01	57.792	1.627	0.136	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.63	1	1	1	2	2	1	1	1e+05	15	1	NA	3	5	1	1	3	3	4	2	2	2	1	1	1	1	1	1	234.93733	259.95325	301.00002	244.0126	4	1	1
"15594"	14	72.99	57.487	0.843	0.145	15	138.71	66.376	2.055	0.149	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.97	1	1	1	1	1	2	2	90000	20	1	NA	3	5	1	1	3	2	4	2	1	2	2	1	2	1	1	1	234.93733	259.95325	301.00002	244.0126	0	1	1
"15595"	15	80.02	60.046	0.998	0.149	12	118.83	58.11	1.716	0.137	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	71.53	2	1	3	1	4	3	3	42000	8	1	NA	3	5	2	1	3	1	1	2	2	2	2	2	NA	NA	1	1	234.93733	259.95325	290.19222	244.0126	6	NA	1
"15596"	16	93.05	64.278	1.218	0.164	15	136.26	65.284	2.016	0.146	1	1	1	-1	-1	-1	-1	-1	1	-1	8	-1	-1	-1	1	1	79.3	1	NA	1	NA	1	NA	4	47000	NA	1	NA	3	5	2	1	3	2	2	2	2	1	1	1	2	1	1	1	234.93733	0	0	244.0126	NA	8	8
"15597"	12	64.34	53.84	0.657	0.142	9	110.04	54.824	1.537	0.131	1	1	1	-1	-1	-1	-1	-1	1	-1	4	1	-1	1	1	1	81.17	1	2	2	1	1	0	0	60000	14	1	NA	3	5	2	1	2	NA	NA	2	1	1	2	1	2	1	1	1	234.93733	275.11128	350.84559	244.0126	6	4	4
"15599"	9	43.36	41.119	-0.055	0.167	11	93.11	48.914	1.23	0.122	1	-1	191	-1	-1	-1	3	-1	1	-1	8	-1	3	-1	1	191	74.87	1	NA	1	NA	1	NA	1	3000	NA	1	-2	1	3	2	1	3	NA	NA	2	1	1	2	NA	1	2	1	1	133.52734	0	0	154.67782	NA	8	8
"15600"	13	61.7	52.575	0.584	0.141	9	107.63	53.956	1.493	0.126	191	191	191	-1	32	18	32	-1	NA	30	5	-1	-1	-1	191	191	71.4	2	NA	NA	NA	NA	NA	NA	NA	NA	1	-2	3	4	NA	NA	1	2	1	NA	1	NA	NA	NA	1	2	1	1	112.14322	0	0	0	NA	5	5
"15602"	13	68.42	55.645	0.761	0.143	12	108.72	54.348	1.498	0.136	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.23	1	NA	3	NA	4	NA	1	35000	NA	1	-2	1	4	2	1	3	NA	NA	2	2	2	2	NA	2	1	1	1	353.24051	0	0	409.19313	NA	1	1
"15604"	14	66.14	54.654	0.711	0.142	12	107.96	54.076	1.473	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.43	1	1	1	1	1	3	3	65000	18	1	-2	2	4	2	1	3	1	4	2	1	1	2	NA	1	2	1	1	353.24051	359.71112	401.55439	409.19313	6	1	1
"15605"	13	55.2	49.101	0.403	0.143	14	118.77	58.085	1.65	0.137	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.1	1	2	2	1	1	0	0	39000	16	1	-2	2	4	2	1	3	NA	NA	2	2	2	2	NA	2	2	1	1	353.24051	359.71112	442.71094	409.19313	6	1	1
"15609"	13	67.29	55.162	0.738	0.142	15	119.74	58.462	1.676	0.137	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	81.73	1	4	4	4	4	0	0	-8	-1	1	-2	1	3	2	1	1	2	3	2	2	1	2	NA	2	2	1	1	353.24051	359.71112	442.71094	409.19313	6	1	1
"15611"	13	60.08	51.759	0.547	0.142	10	105.63	53.246	1.46	0.118	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.63	1	1	1	1	1	1	1	60000	16	1	-2	2	3	2	1	3	1	1	2	1	2	2	NA	1	2	1	1	353.24051	359.71112	416.50971	409.19313	0	1	1
"15612"	10	56.05	49.586	0.434	0.142	8	86.65	46.65	1.081	0.117	249	249	249	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	249	249	70.97	2	1	1	1	1	1	1	54000	13	1	-2	2	3	2	1	3	3	3	2	2	1	2	NA	2	1	1	1	353.24051	359.71112	421.34132	409.19313	2	1	1
"15614"	13	62.06	52.75	0.592	0.141	13	118.32	57.912	1.633	0.137	1	-1	1	-1	-1	-1	-1	-1	1	-1	3	1	-1	1	1	1	72.63	2	2	4	2	4	0	0	25000	13	1	-2	3	2	2	1	3	1	2	2	2	1	2	NA	1	2	1	1	353.24051	359.81807	485.48367	409.19313	4	3	3
"15616"	12	62	52.723	0.591	0.141	14	115.98	57.019	1.604	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.47	1	1	1	1	1	1	1	-8	18	1	-2	3	2	2	1	3	NA	NA	2	1	2	1	NA	2	1	1	1	353.24051	359.71112	442.71094	409.19313	6	1	1
"15618"	15	80.85	60.332	1.012	0.15	10	106.99	53.727	1.481	0.126	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.23	2	1	1	1	1	5	5	1e+05	18	1	-2	3	4	1	1	1	NA	NA	2	1	1	2	NA	2	1	1	1	353.24051	359.71112	401.55439	409.19313	0	1	1
"15619"	11	55.87	49.487	0.427	0.142	7	89.11	47.522	1.154	0.122	NA	NA	NA	NA	NA	NA	NA	NA	1	-1	NA	NA	NA	NA	NA	NA	72.6	1	1	1	1	1	1	1	45000	16	1	-2	3	4	2	1	3	NA	NA	2	NA	2	2	NA	NA	NA	1	1	353.24051	359.71112	416.50971	409.19313	0	NA	1
"15622"	13	61.42	52.435	0.577	0.141	11	116.72	57.301	1.64	0.128	254	254	254	-1	25	28	28	-1	1	23	5	-1	6	-1	254	254	74.5	2	1	1	1	1	1	1	120000	13	1	-2	1	4	2	1	3	1	1	2	2	1	1	1	1	2	1	1	90.12912	162.93163	183.17657	110.80309	6	5	5
"15624"	10	41.79	39.868	-0.087	0.154	7	83.92	45.665	1.06	0.119	2	2	2	-1	31	30	30	-1	1	31	5	-1	8	-1	2	2	76.47	1	1	1	1	1	1	1	40000	18	1	-2	1	3	1	1	1	1	3	2	1	2	2	2	2	1	1	1	90.12912	162.93163	183.17657	110.80309	6	5	5
"15625"	13	63.7	53.541	0.637	0.142	7	90.69	48.075	1.201	0.122	1	-1	1	-1	-1	-1	-1	-1	1	40	8	-1	4	-1	1	1	74.4	1	3	3	4	4	3	3	8800	-1	1	-2	1	3	2	1	1	2	1	1	2	2	2	2	1	2	1	1	103.06628	162.93163	183.17657	110.80309	5	8	8
"15627"	12	60.61	52.033	0.558	0.142	6	77.57	43.261	0.965	0.13	1	-1	1	-1	-1	-1	-1	-1	1	-1	5	-1	3	-1	1	1	74.53	2	1	1	1	1	2	2	65000	18	1	-2	2	4	1	2	1	NA	NA	2	2	2	2	1	2	2	1	1	103.06628	162.93163	183.17657	110.80309	2	5	5
"15628"	12	56.15	49.646	0.438	0.142	6	82.82	45.263	1.041	0.128	73	73	73	-1	17	25	17	-1	1	5	3	4	-1	4	73	73	76.37	2	1	1	1	1	1	1	17000	16	1	-2	1	4	2	1	3	NA	NA	2	1	1	1	NA	2	1	1	1	0	379.7364	0	0	0	3	3
"15630"	12	50.68	46.335	0.259	0.145	12	114.07	56.304	1.562	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.5	1	1	1	1	1	2	2	60000	13	1	-2	1	4	2	1	3	1	4	2	1	2	2	NA	2	2	1	1	269.11751	285.3455	330.40172	289.31917	4	1	1
"15631"	13	63.94	53.654	0.644	0.142	13	120.06	58.586	1.724	0.137	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.03	2	3	3	4	4	3	3	19000	-1	1	-2	1	4	2	1	3	1	1	2	2	2	1	2	2	2	1	1	269.11751	285.3455	351.18619	289.31917	1	1	1
"15632"	-9	-9	-9	-9	-9	8	99.75	51.201	1.309	0.114	69	69	69	-1	34	36	34	-1	1	44	4	4	-1	4	69	69	80.97	1	NA	2	NA	1	NA	0	20000	NA	1	-2	1	4	1	1	3	NA	NA	2	1	2	2	NA	1	2	1	1	269.11751	0	0	289.31917	NA	4	4
"15633"	15	65.86	54.53	0.705	0.142	10	102.92	52.298	1.379	0.126	158	158	158	-1	38	38	38	-1	1	52	4	1	-1	1	158	158	80.27	1	NA	1	NA	1	NA	3	52000	NA	1	-2	1	3	2	1	1	NA	NA	2	2	2	2	2	1	1	1	1	269.11751	0	0	289.31917	NA	4	4
"15634"	14	70.74	56.602	0.802	0.143	10	103.31	52.432	1.396	0.124	1	90	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.3	2	1	1	1	1	3	3	50000	16	1	-2	1	3	2	1	1	NA	NA	2	1	2	2	1	2	2	1	1	269.11751	285.3455	318.53822	289.31917	6	1	1
"15638"	11	56.56	49.873	0.452	0.142	10	104.32	52.786	1.407	0.115	NA	NA	1	-1	NA	NA	-1	-1	1	-1	3	-1	-1	-1	NA	1	71.63	1	1	1	2	2	1	1	40000	13	1	-2	2	4	2	1	3	NA	NA	2	1	2	2	2	NA	NA	1	1	269.11751	285.3455	330.40172	289.31917	7	NA	3
"15639"	9	44.62	42.087	0.027	0.168	5	90.28	47.929	1.185	0.135	198	198	NA	NA	24	30	NA	NA	NA	43	NA	NA	NA	NA	198	NA	70.23	1	NA	NA	NA	NA	NA	NA	NA	NA	1	-2	2	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	2	1	1	269.11751	0	0	0	NA	1	1
"15640"	13	52.18	47.291	0.306	0.144	8	104.11	52.715	1.42	0.127	1	158	1	-1	-1	16	-1	-1	1	52	3	1	-1	1	1	1	79.33	1	1	1	1	1	1	1	40000	13	1	-2	2	4	2	1	3	2	2	2	2	2	1	2	2	2	1	1	269.11751	379.7364	385.11621	289.31917	0	3	3
"15641"	16	98.99	66.124	1.316	0.173	16	147.43	70.515	2.292	0.162	77	77	77	-1	20	28	20	-1	1	52	2	-1	-1	-1	77	77	76.23	1	1	1	1	1	1	1	70000	15	1	-2	2	4	1	1	3	NA	NA	1	1	2	2	2	2	2	1	1	269.11751	308.6821	344.80516	289.31917	6	2	2
"15642"	15	64.65	53.983	0.668	0.142	15	136.96	65.597	2.043	0.15	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.7	1	3	3	4	4	1	1	40000	-1	1	-2	2	4	1	1	1	NA	NA	2	1	2	2	2	2	2	1	1	269.11751	285.3455	351.18619	289.31917	6	1	1
"15643"	NA	NA	NA	NA	NA	12	130.25	62.707	1.896	0.141	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	71.1	2	1	1	2	2	1	1	75000	18	1	-2	2	4	2	2	1	NA	NA	1	NA	2	1	NA	2	1	1	1	269.11751	308.6821	344.80516	289.31917	6	3	3
"15644"	13	61.33	52.394	0.574	0.141	10	118.25	57.887	1.644	0.126	1	1	1	-1	-1	-1	-1	-1	1	-1	7	-1	-1	-1	1	1	73.47	1	4	4	4	4	0	0	35000	-1	1	-2	2	4	2	1	1	NA	NA	2	2	2	1	1	2	1	1	1	269.11751	379.7364	385.11621	289.31917	2	7	7
"15645"	13	56.18	49.66	0.439	0.142	9	95	49.565	1.257	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.67	1	1	3	1	4	1	1	-8	16	1	-2	2	4	2	1	1	2	3	1	2	2	1	1	2	2	1	1	269.11751	285.3455	334.23446	289.31917	6	1	1
"15646"	10	52.18	47.287	0.305	0.144	10	103.96	52.661	1.398	0.115	255	255	255	-1	25	21	21	-1	1	36	5	-1	6	-1	255	255	76.57	1	2	2	1	1	0	0	27000	8	1	NA	2	3	2	1	1	3	1	2	1	2	1	2	2	2	1	1	71.38737	104.71008	119.58977	81.24917	6	5	5
