"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"77"	9	44.67	42.126	0.031	0.168	10	111.55	55.371	1.533	0.119	1	-1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	71.8	1	3	3	4	4	1	1	5000	-1	2	-2	2	4	2	1	1	1	4	2	NA	2	2	NA	2	2	1	1	234.51769	265.72667	286.87334	243.47733	0	1	1
"79"	12	64.14	53.744	0.65	0.142	13	137.58	65.87	2.026	0.147	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.9	2	1	1	1	1	2	2	-8	13	2	-2	1	4	2	1	3	1	2	2	2	2	2	NA	2	1	1	1	234.51769	246.88722	286.87334	243.47733	4	1	1
"84"	12	57.43	50.359	0.479	0.142	11	105.79	53.305	1.448	0.116	1	-1	1	-1	-1	-1	-1	-1	NA	-1	1	-1	-1	-1	1	1	68.7	1	4	NA	4	NA	0	NA	NA	-1	2	-2	2	4	NA	NA	1	1	4	NA	2	NA	NA	NA	2	1	1	1	234.51769	0	0	243.47733	2	1	1
"89"	10	54.43	48.652	0.376	0.143	8	102.48	52.145	1.369	0.115	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.8	1	3	3	4	4	2	2	106000	-1	2	-2	1	4	2	1	1	3	4	2	2	2	2	NA	1	1	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
"91"	16	88.19	62.746	1.131	0.158	14	135.29	64.86	1.987	0.145	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.93	1	1	1	1	1	1	1	110000	19	2	-2	1	4	1	1	1	3	3	2	2	2	2	NA	1	1	2	2	91.226	99.02349	100.15371	91.66981	4	1	1
"93"	10	48.53	44.907	0.184	0.146	5	84.41	45.843	1.062	0.127	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.33	2	1	1	1	1	1	1	65000	20	2	-2	2	4	1	1	1	2	3	2	1	2	1	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	2	1	1
"95"	13	66.3	54.725	0.715	0.142	8	90.36	47.957	1.201	0.116	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.4	1	1	1	1	1	2	2	110000	18	2	-2	2	4	2	1	1	2	3	2	1	2	1	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	4	1	1
"96"	9	40.86	39.116	-0.154	0.166	5	74.17	41.882	0.871	0.132	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.97	2	2	2	1	1	0	0	110000	13	2	-2	2	4	2	1	1	2	1	2	1	2	1	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	4	1	1
"97"	9	51.57	46.905	0.285	0.173	6	91.28	48.278	1.205	0.127	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	75.4	1	1	1	1	1	4	4	-9	16	2	-2	1	4	2	1	1	2	3	2	1	2	2	NA	NA	NA	2	2	91.226	99.02349	100.15371	91.66981	2	NA	1
"100"	13	72.7	57.374	0.837	0.144	15	142.41	68.078	2.124	0.154	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.13	1	1	1	1	1	1	1	-7	22	2	-2	1	4	2	1	1	NA	NA	2	1	2	2	NA	2	2	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
"102"	10	53.84	48.303	0.356	0.143	10	105.37	53.157	1.439	0.116	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.8	2	2	2	2	2	0	0	-7	13	2	-2	2	4	2	1	1	NA	NA	2	1	2	2	NA	2	2	2	2	91.226	99.02349	100.15371	91.66981	7	1	1
"103"	10	42.23	40.225	-0.067	0.154	9	104.91	52.995	1.433	0.116	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	72.53	1	1	1	1	1	2	2	60000	17	2	-2	1	4	2	1	1	NA	NA	2	1	2	2	NA	NA	NA	2	2	91.226	99.02349	100.15371	91.66981	0	NA	1
"104"	15	92.33	64.052	1.205	0.163	15	126.34	61.092	1.81	0.139	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.4	2	1	1	1	1	2	2	-7	22	2	-2	1	4	1	1	1	2	2	2	1	2	1	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
